id,type,name,aliases,region,state,city,lat,lon,facets,what,root,kin,sources,tier,confidence,needs_verification,updated,url
nashville-hot,style,Nashville hot wings,"hot chicken wings|hot wings, Nashville style",nashville|the-south|us,TN,,,,"{""state"": ""TN"", ""cut"": ""party wing"", ""base"": ""other"", ""cooked"": ""fried"", ""heat"": ""very hot""}","Hot chicken's method put on a wing: marinate in a water- or buttermilk-based seasoned blend, flour, fry, then paint with a cayenne paste loosened with fat drawn from the fryer. The paste stains the crust deep red and goes on with a spoon and gloved hands, then gets squeezed in. It lands on white bread with pickle chips — the bread catching the grease, the pickles cutting it — and the bread is part of the dish, not a napkin. Heat runs in named steps and the top step is genuinely punishing.",,nashville-hot-oil|princes-hot-chicken-shack|thornton-prince|andre-prince-jeffries|hattie-bs|boltons-spicy-chicken-and-fish|white-bread-and-pickles|brine|dredge|buffalo|atomic,s:wp-hot-chicken|s:wp-prince-s-hot-chicken-shack|s:wp-hattie-b-s-hot-chicken|s:wp-buffalo-wing|s:this-project,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/nashville-hot/
rochester-breaded,style,Rochester breaded wings,Rochester-style wings|breaded wings|Country Sweet wings,rochester|upstate-ny|us,NY,,,,"{""state"": ""NY"", ""cut"": ""party wing"", ""base"": ""sweet-tomato"", ""cooked"": ""fried"", ""heat"": ""medium""}","A chicken wing dredged in seasoned flour before it goes in the oil, fried until the coating sets hard, then glazed rather than tossed loose — most often in Country Sweet, a sweet-and-tangy sauce a Rochester kitchen built in 1977 that is neither barbecue nor cayenne-and-butter. Breading is the whole argument: seventy miles west, Buffalo puts the wing in the fryer bare. Rochester bars also pour plain cayenne sauce, barbecue, teriyaki and garlic parmesan, so a breaded wing is a coating rather than a single flavour.",,buffalo|country-sweet-chicken-and-ribs|jeremiahs-tavern|breaded-fry|dredge|garbage-plate|blue-cheese-dressing|extra-crispy|the-origin-fight,s:web-countrysweet|s:web-roccitymag-jeremiahs|s:web-jeremiahs-menu|s:wp-buffalo-wing|s:wp-garbage-plate|s:wp-rochester-new-york|s:this-project,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/rochester-breaded/
smoked-bbq-wing,style,Smoked barbecue wings,barbecue wings|smoked wings|pit wings,texas|kansas-city|memphis|the-south|us,,,,,"{""cut"": ""party wing"", ""base"": ""sweet-tomato"", ""cooked"": ""smoked"", ""heat"": ""mild""}","A wing cooked on a barbecue pit rather than in oil: rubbed, smoked over wood until the fat renders, then finished — brushed with a tomato sauce and set over higher heat to tack up, or dropped briefly in the fryer so the skin crisps. Regional sauce follows regional pit. Kansas City runs thick tomato sauces; Memphis runs the dry-and-wet split; Texas leans on the rub and the wood. The wing is a side item on those menus, cooked with the ribs and the shoulder and sold beside them.",,smoke-then-fry|honey-bbq-sauce|memphis-dry-rub|alabama-white|central-bbq|big-bob-gibson-bar-b-q|memphis-rub|the-toss|grill|par-cook|buffalo,s:wp-barbecue-in-the-united-states|s:wp-memphis-style-barbecue|s:wp-barbecue-in-alabama|s:this-project,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/style/smoked-bbq-wing/
alabama-white-sauce,sauce,Alabama white sauce,white barbecue sauce|white sauce,the-south|us,,,,,"{""base"": ""dairy"", ""heat"": ""mild""}","A mayonnaise-based barbecue sauce, thin, pale and sharp. Typical ingredients are vinegar, lemon juice, salt, pepper, cayenne pepper and horseradish stirred into mayonnaise. It goes on barbecue chicken, which is an Alabama speciality, and on wings — dunked whole rather than brushed.",,alabama-white|big-bob-gibson-bar-b-q|bob-gibson|ranch-dressing|blue-cheese-dressing|smoke-then-fry|smoked-bbq-wing|honey-bbq-sauce,s:wp-barbecue-in-alabama|s:fdc-saws-alabama-white-sauce|s:harland-1906,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/alabama-white-sauce/
blue-cheese-dressing,sauce,Blue cheese dressing,bleu cheese|blue cheese|chunky blue,western-ny|us,,,,,"{""base"": ""dairy"", ""heat"": ""none""}","A thick white dip of blue cheese with mayonnaise and buttermilk, sour cream or yogurt, plus milk, vinegar, onion powder and garlic powder. A vinaigrette version exists — salad oil, blue cheese, vinegar and seasonings — and is not what comes with wings. Sold by most major dressing makers in the United States and Canada, and served as the dip beside Buffalo wings and raw vegetables.",,buffalo|ranch-dressing|celery-and-carrots|teressa-bellissimo|anchor-bar|ranch-vs-blue-cheese|buffalo-sauce|sauce-on-the-side|alabama-white-sauce,s:wp-blue-cheese-dressing|s:wp-buffalo-wing|s:wp-anchor-bar|s:fdc-kens-chunky-blue-cheese|s:wikibooks-blue-cheese-dressing|s:farmer-1910,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/blue-cheese-dressing/
buffalo-sauce,sauce,Buffalo sauce,wing sauce|hot sauce and butter|medium,western-ny|us,,,,,"{""base"": ""cayenne-butter"", ""heat"": ""medium"", ""styles"": ""buffalo""}","Cayenne pepper hot sauce cut with melted butter. Two things, warmed together and held warm, poured over fried wings in a metal bowl and shaken. More butter reads mild, less reads hot, and a kitchen moves between the three by changing that ratio rather than the pepper. Worcestershire sauce and garlic powder turn up in plenty of versions. Bottled ready-to-use wing sauce does the same job with oil and butter flavouring in place of butter, because butter separates on a shelf.",,buffalo|franks-redhot|crystal-hot-sauce|the-toss|blue-cheese-dressing|anchor-bar|teressa-bellissimo|mumbo-sauce|naked-fry|buffalo-word,s:wp-buffalo-wing|s:wp-frank-s-redhot|s:wp-crystal-hot-sauce|s:wp-anchor-bar|s:trillin-1980|s:fdc-franks-redhot-buffalo-wings|s:wikibooks-buffalo-wings|s:farmer-1910,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/buffalo-sauce/
crystal-hot-sauce,sauce,Crystal Hot Sauce,Crystal|Crystal Louisiana's Pure Hot Sauce,new-orleans|us,,,,,"{""base"": ""vinegar-pepper"", ""heat"": ""mild"", ""styles"": ""buffalo""}","A reddish-orange Louisiana pepper sauce made by Baumer Foods since 1923: aged red cayenne peppers, distilled vinegar, salt. Three ingredients on the 6 fl oz bottle; the gallon jug adds xanthan gum. Writers put it against Tabasco as having ""a more prominent dark chile flavor, and a slightly subdued vinegar profile"". Buffalo kitchens that do not buy Frank's usually buy this.",,buffalo-sauce|franks-redhot|buffalo|nashville-hot-oil|hot-sauce-labels|jerk-marinade,s:wp-crystal-hot-sauce|s:wp-buffalo-wing|s:wp-carolina-reaper|s:wp-tabasco-sauce|s:fdc-crystal-hot-sauce|s:wp-scoville-scale|s:harland-1906,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/crystal-hot-sauce/
franks-redhot,sauce,Frank's RedHot,Frank's|Frank's RedHot Original Cayenne Pepper Sauce,us|western-ny,,,,,"{""base"": ""vinegar-pepper"", ""heat"": ""mild"", ""styles"": ""buffalo""}","A thin orange cayenne pepper sauce: aged cayenne red peppers, distilled vinegar, water, salt, garlic powder, in that order on the label. McCormick & Company makes it. The Original blend measures 450 Scoville heat units — the capsaicin scale named for Wilbur Scoville — which puts it below Tabasco, Cholula and Tapatío, and barely above Sriracha; the XTRA Hot blend measures 2,000. It is the bottle most Buffalo wing recipes start from.",,buffalo-sauce|crystal-hot-sauce|buffalo|nashville-hot-oil|hot-sauce-labels|anchor-bar|the-toss,s:wp-frank-s-redhot|s:wp-buffalo-wing|s:wp-scoville-scale|s:fdc-franks-redhot-original|s:web-franks-redhot-original-page|s:harland-1906|s:wp-cayenne-pepper,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/franks-redhot/
garlic-parmesan-sauce,sauce,Garlic parmesan sauce,garlic parm|garlic parmesan,us,,,,,"{""base"": ""herb-garlic"", ""heat"": ""none""}","A pale, garlicky wing coating with parmesan in it. Two versions share the name: a creamy emulsified sauce built on oil and egg yolk with parmesan powder, sold bottled; and a kitchen mix of melted butter, minced garlic and grated parmesan tossed over the wings and finished with more cheese and parsley. Neither has heat in it. Both leave the wing wet and the fingers cheesy.",,garlic-parm|lemon-pepper-wet|wingstop|buffalo-sauce|ranch-dressing|the-toss|soy-garlic-sauce,s:wp-buffalo-wing|s:wp-wingstop|s:fdc-kinders-garlic-parmesan,cited,medium,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/garlic-parmesan-sauce/
honey-bbq-sauce,sauce,Honey barbecue sauce,honey BBQ|honey barbeque,us,,,,,"{""base"": ""sweet-tomato"", ""heat"": ""none""}","A thick sweet red sauce: corn syrup or sugar, vinegar, tomato, honey, smoke flavour and spices. Sticky enough to hold on a wing without butter, sweet enough to caramelise under a broiler or on a grill. Every wing chain sells one, and it is usually the mildest thing on the board.",,smoked-bbq-wing|memphis-rub|mild-sauce|mumbo-sauce|hot-honey|buffalo-wild-wings|grill|wing-night,s:wp-buffalo-wing|s:wp-pizza-hut|s:fdc-sweet-baby-rays-honey-bbq|s:harland-1906|s:wikibooks-barbecue-sauce,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/honey-bbq-sauce/
hot-honey,sauce,Hot honey,chili honey|spicy honey,us,,,,,"{""base"": ""other"", ""heat"": ""medium""}","Honey with chillies in it. Sweet first, then a heat that builds slowly — the flavour writers describe as ""sweet-first"" with a ""slow-building heat"". Goes on pizza, on fried chicken and wings, on roasted vegetables, with cheese, in sandwiches, on desserts, into glazes and marinades and dipping sauces, and into mixed drinks.",,hot-honey-word|honey-bbq-sauce|nashville-hot-oil|jerk-marinade|buffalo-sauce|buffalo-chicken-pizza|sweet-chili-sauce|grill,s:wp-hot-honey|s:fdc-mikes-hot-honey,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/hot-honey/
jerk-marinade,sauce,Jerk marinade,jerk seasoning|jerk spice|Jamaican jerk spice,caribbean-american|us,,,,,"{""base"": ""other"", ""heat"": ""hot""}","A wet marinade, or a dry rub, built on allspice and Scotch bonnet peppers — both native to Jamaica and grown there by the Taíno. Scallion, thyme, garlic, ginger, cloves, cinnamon, nutmeg, brown sugar, soy sauce, vinegar and salt turn up in it. The heat is the Scotch bonnet's. The word 'jerk' names the rub, the marinade and mop sauce made from it, and the cooking technique, all three.",,caribbean-jerk|peppas-jerk-chicken|smoke-then-fry|grill|nashville-hot-oil|crystal-hot-sauce|hot-honey|sweet-chili-sauce,s:wp-jerk-cooking|s:fdc-spur-tree-jerk-seasoning,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/jerk-marinade/
lemon-pepper-seasoning,sauce,Lemon pepper,lemon pepper seasoning|LP,atlanta|us,,,,,"{""base"": ""citrus-pepper"", ""heat"": ""none""}","A dry blend of granulated lemon zest and cracked black peppercorns. The zest is mashed into the pepper so citrus oil soaks in, then the mix is baked and dried. Commercial blends add salt, sugar, onion powder, garlic powder, citric acid, lemon flavouring, sometimes cayenne. It started as a seafood seasoning and became the wing seasoning Atlanta is known for.",,atlanta-lemon-pepper|lemon-pepper-wet|wet-and-dry|american-deli|jr-cricketts|old-bay|memphis-rub|all-flats|naked-fry,s:wp-lemon-pepper|s:wp-lemon-pepper-wings|s:fdc-mccormick-lemon-pepper,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/lemon-pepper-seasoning/
lemon-pepper-wet,sauce,Lemon pepper wet,LP wet|lemon pepper wet wings,atlanta|us,,,,,"{""base"": ""citrus-pepper"", ""heat"": ""mild""}","A wing that has been through something wet and then through lemon pepper. The wet part varies: a lemon sauce instead of a dry rub at some shops, melted butter at others, Buffalo sauce at others again, with the dry seasoning shaken on after. American Deli in Atlanta invented the version the name usually points at.",,lemon-pepper-seasoning|atlanta-lemon-pepper|wet-and-dry|american-deli|jr-cricketts|buffalo-sauce|the-toss|all-flats,s:wp-lemon-pepper-wings|s:wp-lemon-pepper|s:douglas-1903,cited,medium,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/lemon-pepper-wet/
mango-habanero,sauce,Mango habanero,mango hab|sweet heat,us,,,,,"{""base"": ""other"", ""heat"": ""hot""}","A sweet-then-hot wing sauce: mango purée and corn syrup in front, habanero and cayenne behind. Orange, thick, and built to be tossed. It is the standard second-from-the-top rung on a chain wing board — hot enough to be a choice, sweet enough to finish.",,atomic|sweet-chili-sauce|hot-honey|buffalo-wild-wings|wingstop|buffalo-sauce|boneless-wings|the-toss,s:wp-buffalo-wing|s:wp-wingstop|s:fdc-sweet-baby-rays-mango-habanero|s:wp-scoville-scale,cited,medium,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/mango-habanero/
memphis-rub,sauce,Memphis dry rub,dry rub|Memphis rub|dry,memphis|us,,,,,"{""base"": ""dry-rub"", ""heat"": ""mild""}","A dry mix of salt, paprika, sugar and spices, patted onto meat before it cooks and shaken over it again after. Memphis barbecue is mostly pork — ribs and shoulders — and its ribs come dry or wet: dry means rub and no sauce, wet means sauce brushed on before, during and after. The same rub goes on wings, which get the rib counter's treatment without the pit.",,memphis-dry-rub|central-bbq|wet-and-dry|old-bay|lemon-pepper-seasoning|smoke-then-fry|honey-bbq-sauce|smoked-bbq-wing,s:wp-memphis-style-barbecue|s:fdc-adams-reserve-memphis-rub,cited,medium,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/memphis-rub/
mild-sauce,sauce,Mild sauce,Chicago mild sauce,chicago|us,,,,,"{""base"": ""sweet-tomato"", ""heat"": ""mild""}","A red-brown condiment poured over fried chicken and wings on Chicago's South and West Sides. Recipes vary a great deal; many versions combine ketchup, barbecue sauce and hot sauce. Close kin to barbecue sauce and to mumbo sauce, and particularly associated with Black communities in Chicago. The name is not a heat rating — it is what the sauce is called.",,chicago-mild-sauce|mumbo-sauce|harolds-chicken-shack|uncle-remus-saucy-fried-chicken|argia-b-collins|white-bread-and-pickles|mild-sauce-word|honey-bbq-sauce,s:wp-mild-sauce|s:wp-mumbo-sauce|s:wp-harold-s-chicken-shack|s:fdc-aishas-mild-sauce|s:harland-1906,cited,medium,True,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/mild-sauce/
mumbo-sauce,sauce,Mumbo sauce,mambo sauce|Mumbo® Sauce,dc|chicago|us,,,,,"{""base"": ""sweet-tomato"", ""heat"": ""mild""}","A carryout condiment of Washington, D.C.: red-orange, thick, poured over fried chicken wings, french fries, fried jumbo shrimp and fried rice. Close to barbecue sauce but sweeter, and either spicier or more sour depending on whose it is. The consistency and the flavour vary shop to shop. Its origin and its ingredients are both disputed, and so is its spelling.",,dc-mumbo|mild-sauce|john-young|argia-b-collins|mumbo-fries|capital-city-mambo-sauce|yums-carry-out|mumbo|buffalo-sauce|fried-rice-plate,s:wp-mumbo-sauce|s:wp-mild-sauce|s:wp-buffalo-wing|s:fdc-capital-city-mild-mambo|s:harland-1906,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/mumbo-sauce/
nashville-hot-oil,sauce,Nashville hot paste,hot oil|the paste|cayenne paste,nashville|us,,,,,"{""base"": ""other"", ""heat"": ""very hot""}","A cayenne paste, spooned onto fried chicken the moment it leaves the fryer. Fat carries it — lard or a ladle of the frying oil itself — which is why it soaks in rather than sitting on top, and why the bird turns deep red. Some shops add sugar, garlic or extra hot sauce. Some apply it before breading instead of after. Recipes are kept close.",,nashville-hot|princes-hot-chicken-shack|thornton-prince|andre-prince-jeffries|white-bread-and-pickles|frying-oil|buffalo-sauce|franks-redhot|hattie-bs,s:wp-hot-chicken|s:wp-prince-s-hot-chicken-shack|s:wp-hattie-b-s-hot-chicken|s:fdc-franks-redhot-nashville-hot|s:wp-cayenne-pepper,cited,medium,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/nashville-hot-oil/
old-bay,sauce,Old Bay Seasoning,Old Bay|the yellow can,baltimore|us,,,,,"{""base"": ""dry-rub"", ""heat"": ""mild""}","A blend of eighteen herbs and spices built on celery salt — salt and celery seed — with red pepper, black pepper and paprika. Bay leaves, mustard, cardamom, cloves and ginger are among the others listed for the original product held at the Baltimore Museum of Industry. Made for crab and shrimp; used on wings, fries, popcorn, eggs, corn and a great deal else across Maryland, Virginia and the rest of the Mid-Atlantic.",,baltimore-old-bay|lemon-pepper-seasoning|memphis-rub|wet-and-dry|french-fries|naked-fry|hot-sauce-labels,s:wp-old-bay-seasoning|s:fdc-old-bay-seasoning|s:wp-super-bowl,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/old-bay/
ranch-dressing,sauce,Ranch dressing,ranch|Hidden Valley Ranch,us,,,,,"{""base"": ""dairy"", ""heat"": ""none""}","A savoury creamy dressing of buttermilk, salt, garlic, onion, black pepper and herbs — commonly chives, parsley and dill — mixed into mayonnaise or another oil emulsion. Sour cream and yogurt sometimes stand in for the buttermilk or the mayonnaise. It has been the best-selling salad dressing in the United States since 1992, when it passed Italian, and it is the most popular wing dip in the country.",,blue-cheese-dressing|ranch-vs-blue-cheese|buffalo|celery-and-carrots|wingstop|buffalo-sauce|garlic-parmesan-sauce|alabama-white-sauce|boneless-wings,s:wp-ranch-dressing|s:wp-buffalo-wing|s:wp-wingstop|s:fdc-hidden-valley-ranch|s:wikibooks-buttermilk-ranch-dressing|s:farmer-1910,cited,high,False,2026-09-16,https://nanobotco.github.io/buffalo-wings/sauce/ranch-dressing/
